is_question,title,scraped_at
0,Nvidia is proposing a beast of a CPU system for Windows PCs,2026-06-07T10:38:13.768505
0,Show HN: TakoVM – Isolated model and tool execution used by enterprises,2026-06-07T10:38:13.768507
0,"Sem: New primitive for code understanding – not LSPs, but entities on top of Git",2026-06-07T10:38:13.768509
0,"PaceVer (an alternative to SemVer, for mobile apps)",2026-06-07T10:38:13.768511
0,An Ohio Valley 100k-Watt FM Signal Is Severed in Broad Daylight – Radio World,2026-06-07T10:38:13.768514
0,Google to pay SpaceX $920M a month for compute capacity at xAI data centers,2026-06-07T10:38:13.768516
0,Pokemon Emerald Ported to WebAssembly (100k FPS),2026-06-07T10:38:13.768518
1,"Ask HN: What was your ""oh shit"" moment with GenAI?",2026-06-07T10:38:13.768520
0,Motorola effectively bricked its entire line of WiFi routers without explanation,2026-06-07T10:38:13.768522
0,Unicode Fonts and Tools for X11,2026-06-07T10:38:13.768525
0,Show HN: Infinite canvas notes in the non-Euclidean Poincaré disk,2026-06-07T10:38:13.768527
0,You Can Run,2026-06-07T10:38:13.768529
1,Computex 2026: Are We Heading for the Agentic PC Era Yet?,2026-06-07T10:38:13.768532
0,Benchmarks in Leipzig,2026-06-07T10:38:13.768534
0,The new bibliomaniacs,2026-06-07T10:38:13.768536
0,HateArena – A free and open source arena shooter,2026-06-07T10:38:13.768538
0,"Delays to defence plan undermine UK credibility, MPs say",2026-06-07T10:38:13.768541
0,Starmer tells supporters he will fight any leadership contest,2026-06-07T10:38:13.768543
0,Cosmeticorexia: How girls are falling down a skincare rabbit hole,2026-06-07T10:38:13.768545
0,Police officer turned Love Island US contestant faces hometown backlash,2026-06-07T10:38:13.768548
0,Hegseth attacks Europe over migration with beach 'invasion' D-Day speech,2026-06-07T10:38:13.768550
0,Manhunt for suspects after 12 people shot near festival in Ohio,2026-06-07T10:38:13.768552
0,"Watch: A veil, gowns and umbrellas at a rainy royal wedding",2026-06-07T10:38:13.768554
0,"Cake sheds are making bakers £1,000 a week - but the dream might be over",2026-06-07T10:38:13.768557
1,Not a football fan? Here's how to sound like a World Cup expert,2026-06-07T10:38:13.768559
0,The Nowak murder has lit a match under British politics. This is how we got here,2026-06-07T10:38:13.768561
0,I was applying for hundreds of jobs - this tip helped me get one,2026-06-07T10:38:13.768563
0,The gamers taking on the industry to stop it switching off games,2026-06-07T10:38:13.768566
0,Why pupils are getting custom school leavers shirts made for their last day,2026-06-07T10:38:13.768568
0,The Papers: 'Cuts to fund defence spark chaos' and 'Kate the cream of hearts',2026-06-07T10:38:13.768570
0,Iran says staff blocked from entering US after players given World Cup visas,2026-06-07T10:38:13.768572
0,'My great-grandad saved your life' - Aberfan survivor left stunned on school visit,2026-06-07T10:38:13.768575
0,Lebanese general among three soldiers killed in Israeli attack on car,2026-06-07T10:38:13.768577
0,Insecurity and instability drive voters in Peru's tight presidential race,2026-06-07T10:38:13.768579
0,Builder wins bet on Epsom Derby thanks to 'spooky' time capsule tip,2026-06-07T10:38:13.768581
0,'He's causing havoc': Parrot loose in Inverness blamed for damage to cars,2026-06-07T10:38:13.768583
0,I moved from Ethiopia to Shetland - and I've brought the coffee with me,2026-06-07T10:38:13.768586
0,Rivals costume designer honoured to make outfit for Dame Jilly Cooper,2026-06-07T10:38:13.768588
0,'It was an easy decision': Man donates part of his brain to help find cure for dementia,2026-06-07T10:38:13.768590
1,Will Henry Nowak’s Murder Change Policing?,2026-06-07T10:38:13.768593
0,Anthropic: AI could escape human control,2026-06-07T10:38:13.768596
0,"Explore a place where science, politics and culture collide",2026-06-07T10:38:13.768598
0,This was a training game - England & Tuchel now need to get serious,2026-06-07T10:38:13.768601
1,"Patient, precise, clinical - are Scotland ready to make World Cup mark?",2026-06-07T10:38:13.768603
0,Friendship to be forgotten with French Open on the line,2026-06-07T10:38:13.768606
0,'I want to thank myself' - Andreeva's journey to Grand Slam glory,2026-06-07T10:38:13.768608
0,Russell perplexed by struggles having arrived in Monaco playing mind games,2026-06-07T10:38:13.768610
0,Scotland score four in first half to beat Bolivia,2026-06-07T10:38:13.768613
0,England move closer to win on wet day at Lord's,2026-06-07T10:38:13.768615
0,OpenAI unveils Lockdown Mode to protect sensitive data from prompt injection attacks,2026-06-07T10:38:13.768617
0,Sriram Krishnan is leaving his role as White House AI advisor,2026-06-07T10:38:13.768619
0,The Trump administration might take an equity stake in OpenAI,2026-06-07T10:38:13.768622
0,Beyond Instagram: Introducing the next generation of social apps,2026-06-07T10:38:13.768625
0,Reid Hoffman is leaving Microsoft’s board to go ‘founder mode’ with startup Manus,2026-06-07T10:38:13.768628
0,"Founders share VC horror stories, and some are naming names",2026-06-07T10:38:13.768630
0,Former cyber executive turned whistleblower accuses IBM of covering up several data breaches,2026-06-07T10:38:13.768632
0,Startup Battlefield 200 applications officially close in 3 days,2026-06-07T10:38:13.768634
0,Google will pay SpaceX $920M per month for compute,2026-06-07T10:38:13.768637
0,GM’s electric future depends on a new battery — and this facility,2026-06-07T10:38:13.768639
0,"As VC-backed e-bike startups went bankrupt, bootstrapped Lectric grew",2026-06-07T10:38:13.768641
0,The most interesting startups right now want to get you off your phone,2026-06-07T10:38:13.768643
0,Supabase doubles valuation to $10B in 8 months,2026-06-07T10:38:13.768645
0,Google and FBI warn of ransomware group that sends fake IT workers to hack victims in person,2026-06-07T10:38:13.768648
0,The token bill comes due: Inside the industry scramble to manage AI’s runaway costs,2026-06-07T10:38:13.768650
0,NASA briefly sheltered space station astronauts in SpaceX’s Dragon due to leaks,2026-06-07T10:38:13.768653
0,NSA said to be readying Anthropic’s Mythos for use in cyber operations,2026-06-07T10:38:13.768655
0,AirTrunk commits $30B to build 5GW of AI data centers in India,2026-06-07T10:38:13.768657
0,Teenage Engineering: Introducing APC-2,2026-06-08T08:32:32.067964
0,DeepSeek V4 Pro beats GPT-5.5 Pro on precision,2026-06-08T08:32:32.068080
0,The Smallest Brain You Can Build: A Perceptron in Python,2026-06-08T08:32:32.068085
0,"Building from zero after addiction, prison, and a felony",2026-06-08T08:32:32.068087
0,New drug 'functionally cures' many hepatitis B virus infections,2026-06-08T08:32:32.068090
0,Algorithmic Monocultures in Hiring,2026-06-08T08:32:32.068092
0,A Matter Wi-Fi Light Bulb in Rust on the Raspberry Pi Pico 2 W,2026-06-08T08:32:32.068094
0,Show HN: I Derived a Pancake,2026-06-08T08:32:32.068096
0,90210 – running the show without property tax,2026-06-08T08:32:32.068099
0,Making peace with your unlived dreams (2023),2026-06-08T08:32:32.068101
0,7.8 magnitude earthquake shakes part of southern Philippines. Tsunami possible,2026-06-08T08:32:32.068104
1,How's Linear so fast? A technical breakdown,2026-06-08T08:32:32.068106
0,"Texas grid flags risks as data centers, crypto sites fail voltage tests",2026-06-08T08:32:32.068108
1,What is the purpose of the lost+found folder in Linux and Unix? (2014),2026-06-08T08:32:32.068110
0,Do we fear the serializable isolation level more than we fear subtle bugs (2024),2026-06-08T08:32:32.068113
0,Powering up a module from the IBM 604: an electronic calculator from 1948,2026-06-08T08:32:32.068115
0,1worldflag: A blue dot on a transparent background,2026-06-08T08:32:32.068117
0,Man-Computer Symbiosis J. C. R. Licklider (1960),2026-06-08T08:32:32.068119
0,"Show HN: Lathe – Use LLMs to learn a new domain, not skip past it",2026-06-08T08:32:32.068122
0,The 29th International Obfuscated C Code Contest (IOCCC) 2025 Winners,2026-06-08T08:32:32.068124
0,LLMs are eroding my software engineering career and I don't know what to do,2026-06-08T08:32:32.068126
0,Cloning a Sennheiser BA2015 battery pack,2026-06-08T08:32:32.068128
0,My automated doubt development process,2026-06-08T08:32:32.068130
0,Tech sell-off widens as South Korea index plunges,2026-06-08T08:32:32.068133
0,Proliferate (YC S25) is hiring to building open source Codex,2026-06-08T08:32:32.068135
0,Firefox Merges Support for Vulkan Video Decoding,2026-06-08T08:32:32.068137
0,KNN early termination in Manticore Search,2026-06-08T08:32:32.068139
0,A visual introduction to kernel functions,2026-06-08T08:32:32.068141
0,Splash Is a Colour Format,2026-06-08T08:32:32.068144
0,An Ohio Valley 100k-watt FM signal is severed in broad daylight,2026-06-08T08:32:32.068146
0,Trump abruptly ends NBC interview after clash over 'rigged election' claim,2026-06-08T08:32:32.068148
0,Vulnerable women lured by illegal sperm donor services on social media,2026-06-08T08:32:32.068150
0,"M&S launches new traineeship for 1,000 young people",2026-06-08T08:32:32.068153
0,'No dead ends': What the Dutch can teach us about tackling youth unemployment,2026-06-08T08:32:32.068155
0,How the High Street became a window on our political instability,2026-06-08T08:32:32.068157
0,Christian Eriksen conscious after collapsing in Denmark game,2026-06-08T08:32:32.068159
0,'A World Cup for them not us': Fans' anger at US travel bans and visa restrictions,2026-06-08T08:32:32.068161
0,You may be saving for retirement without realising it. Here's how to check,2026-06-08T08:32:32.068163
0,Zelensky's close European allies set out five conditions for peace talks,2026-06-08T08:32:32.068165
0,Oil prices edge higher after strikes on Israel test ceasefire,2026-06-08T08:32:32.068168
0,My drinking days are over - here are my tips for an alcohol-free World Cup,2026-06-08T08:32:32.068170
0,'We don't look at the sky anymore': The Air India crash victims who were not on the plane,2026-06-08T08:32:32.068172
0,The Papers: 'Iran fires missile barrage' and 'New Eriksen hell',2026-06-08T08:32:32.068174
1,Friendship or leverage: Why is Xi Jinping going to North Korea?,2026-06-08T08:32:32.068177
0,"Cake sheds are making bakers £1,000 a week but the dream might be over",2026-06-08T08:32:32.068179
0,Spain's visitor numbers hit new highs as tourists avoid Middle East,2026-06-08T08:32:32.068181
0,Rice to be England's vice-captain at World Cup,2026-06-08T08:32:32.068183
0,Five people injured in stabbing at New York City's Penn Station,2026-06-08T08:32:32.068186
0,Australian doctor who underwent world-first brain tumour treatment dies,2026-06-08T08:32:32.068188
0,Royal Mail delivers new parent magazine to father 19 years late,2026-06-08T08:32:32.068190
0,South Africa's president unveils crackdown on illegal migration,2026-06-08T08:32:32.068192
0,"Girl, 16, among five arrested over Nowak protests as three charged",2026-06-08T08:32:32.068194
0,David Lammy Tells JD Vance He's Wrong Over Immigration Comments,2026-06-08T08:32:32.068196
0,From dazzling winger to veteran who barely runs - the evolution of Messi,2026-06-08T08:32:32.068199
0,Eriksen conscious after collapsing in Denmark game,2026-06-08T08:32:32.068201
0,Antonelli-Russell contrast could hardly be more stark,2026-06-08T08:32:32.068203
0,'I had the best and worst moments of my life on this court' - Zverev triumphs at last,2026-06-08T08:32:32.068205
0,Hodgkinson stunned by Werro despite personal best,2026-06-08T08:32:32.068207
0,Rice to be England's vice-captain at World Cup,2026-06-08T08:32:32.068210
0,Monaco great for Hamilton but no fairytale for Leclerc - driver ratings,2026-06-08T08:32:32.068212
1,Is this the dawn of the Tokenpocalypse?,2026-06-08T08:32:32.068214
0,Notion restores access to Anthropic after service disruption,2026-06-08T08:32:32.068216
0,OpenAI is still working on that ‘super app’,2026-06-08T08:32:32.068218
0,TechCrunch Mobility: Inside GM’s $900M EV battery gamble,2026-06-08T08:32:32.068220
0,"Hacked, leaked, and held for ransom: the worst breaches of 2026 so far",2026-06-08T08:32:32.068223
0,AI agent runs amok in Fedora and elsewhere,2026-06-11T08:01:25.128083
0,Cybersecurity researchers aren't happy about the guardrails on Anthropic's Fable,2026-06-11T08:01:25.128226
0,πFS,2026-06-11T08:01:25.128248
0,A Written Language for the Cherokee So Efficient It Was Thought to Be Magic,2026-06-11T08:01:25.128254
0,Anthropic requires 30 day data retention for Fable and Mythos,2026-06-11T08:01:25.128259
0,Vacuum-Form Signage,2026-06-11T08:01:25.128265
0,"I'm Eric Ries, author of ""The Lean Startup"" and new book ""Incorruptible"" – AMA",2026-06-11T08:01:25.128272
0,Klondike Solitaire game for curses in 5k of C,2026-06-11T08:01:25.128277
0,How JPL keeps the 13-year-old Curiosity rover doing science,2026-06-11T08:01:25.128283
0,PgDog is funded and coming to a database near you,2026-06-11T08:01:25.128288
0,L'Affaire Siloxane,2026-06-11T08:01:25.128295
1,What is it like to be a bat? (1974) [pdf],2026-06-11T08:01:25.128300
0,GeoLibre 1.0,2026-06-11T08:01:25.128304
0,Show HN: Extend UI – open-source UI kit for modern document apps,2026-06-11T08:01:25.128309
0,Raspberry Pi 5 – 16GB RAM,2026-06-11T08:01:25.128315
0,Deficient executive control in transformer attention,2026-06-11T08:01:25.128319
1,Who's the smartest corvid?,2026-06-11T08:01:25.128324
0,"Farmer donates land for a park, city sells it for $10M as data center land",2026-06-11T08:01:25.128329
0,World Capitals Voronoi,2026-06-11T08:01:25.128334
0,Building an HTML-first site doubled our users overnight,2026-06-11T08:01:25.128339
0,Show HN: HelixDB – A graph database built on object storage,2026-06-11T08:01:25.128344
0,Computer Lessons,2026-06-11T08:01:25.128349
0,"Claude Desktop spawns 1.8 GB Hyper-V VM on every launch, even for chat-only use",2026-06-11T08:01:25.128354
0,Apache Burr: Build reliable AI agents and applications,2026-06-11T08:01:25.128359
0,Notes on DeepSeek,2026-06-11T08:01:25.128365
0,Unix GC Remastered,2026-06-11T08:01:25.128370
0,Authentication issues related to API requests,2026-06-11T08:01:25.128374
0,"All 9,300 Japanese train station, animated by the year it opened (1872–2026)",2026-06-11T08:01:25.128379
1,Why are there so many canines in fine art?,2026-06-11T08:01:25.128384
0,Smudging the game disc to make speedrunning 'SpongeBob' faster,2026-06-11T08:01:25.128389
0,Water cannon fired in latest disorder after Belfast knife attack,2026-06-11T08:01:25.128394
0,Tehran targets US Gulf bases after American forces launch new strikes on Iran,2026-06-11T08:01:25.128399
0,Essex Police given new information on West Ham co-owner David Sullivan,2026-06-11T08:01:25.128404
0,Fireworks illuminate Barcelona's Sagrada Família during Pope visit,2026-06-11T08:01:25.128409
0,"Smacking children could lead to lower GCSE grades, study suggests",2026-06-11T08:01:25.128415
1,Which World Cup stars have roots near you?,2026-06-11T08:01:25.128420
0,Mike Ashley's Frasers offers £1.73bn to buy all of Hugo Boss,2026-06-11T08:01:25.128425
0,The furious dispute over what caused Air India flight 171 to crash,2026-06-11T08:01:25.128430
0,"Changing visa rules for care workers is wrong, says Rayner",2026-06-11T08:01:25.128434
0,Vets advise ban on over the counter flea treatment for pets,2026-06-11T08:01:25.128439
0,Whale graveyard dating back five million years discovered,2026-06-11T08:01:25.128443
1,Bellingham at number 10? Will Saka start? It's decision time for Tuchel,2026-06-11T08:01:25.128448
0,A World Cup guide for new football fans,2026-06-11T08:01:25.128453
1,Is England v Costa Rica delay a sign of things to come?,2026-06-11T08:01:25.128458
0,How to watch the World Cup on the BBC and ITV,2026-06-11T08:01:25.128464
0,An Everest guide's miraculous survival raises questions for tourism industry,2026-06-11T08:01:25.128470
0,Olivia Rodrigo sings about heartbreak but she's already chosen her wedding song,2026-06-11T08:01:25.128477
0,How a knife attack sparked violence in Belfast,2026-06-11T08:01:25.128484
0,We spent an entire year watching this one pothole - here's what happened,2026-06-11T08:01:25.128490
0,The Papers: 'Second night of unrest' and 'Yes we Kansas',2026-06-11T08:01:25.128495
0,Trump says he 'loves the inflation' as US prices rise at fastest rate in three years,2026-06-11T08:01:25.128502
0,Anger over Epstein and Andrew fuels festival of 'female anarchy',2026-06-11T08:01:25.128508
0,Lacey Turner confirmed as first Strictly contestant,2026-06-11T08:01:25.128514
0,Five jailed for violence at Henry Nowak police protest,2026-06-11T08:01:25.128520
0,Sara Sharif's siblings to stay in Pakistan,2026-06-11T08:01:25.128525
0,The Secret Jungle Hospital,2026-06-11T08:01:25.128531
1,Americanswers… on 5 Live! Why did Trump walk out of his TV interview with Meet The Press?,2026-06-11T08:01:25.128537
1,Bellingham at number 10? Will Saka start? It's decision time for Tuchel,2026-06-11T08:01:25.128543
0,"Infantino could have stood up for the World Cup - but he said 'chill, relax'",2026-06-11T08:01:25.128548
0,"'In emergency, break glass' - England seek stability in Root",2026-06-11T08:01:25.128553
0,Williams' Queen's campaign in doubt after Mboko injury,2026-06-11T08:01:25.128557
0,Scotland's Super Mario and social butterfly who emerged from Man Utd cocoon,2026-06-11T08:01:25.128562
0,Formula 1 agrees to engine design change after criticism,2026-06-11T08:01:25.128566
0,"xAI fired an engineer who raised alarms about Grok safety, new lawsuit claims",2026-06-11T08:01:25.128571
0,Why Andrew Yang is building instead of waiting for Washington,2026-06-11T08:01:25.128576
0,Cybercriminals claim breach of Oracle PeopleSoft servers at 100-plus organizations,2026-06-11T08:01:25.128581
0,Everyone wants a piece of Tesla’s battery business,2026-06-11T08:01:25.128586
0,"Fresh off bond sale, Amazon borrows $17.5B from banks as AI spending continues",2026-06-11T08:01:25.128591
0,"North Koreans behind nearly half of US tech industry hacks, says CrowdStrike",2026-06-11T08:01:25.128596
0,Wing drone delivery might not be a novelty anymore,2026-06-11T08:01:25.128600
0,Netflix expands revamped mobile app across Asia and doubles down on kids’ gaming,2026-06-11T08:01:25.128605
0,"‘AI-pilled’ firms spend $7,500 per employee each month on AI",2026-06-11T08:01:25.128610
0,The Indian government got cold feet on Starlink just before SpaceX’s IPO,2026-06-11T08:01:25.128615
0,How memory tools can make AI models worse,2026-06-11T08:01:25.128619
0,Zest launches a restaurant discovery app powered by where people actually eat,2026-06-11T08:01:25.128624
0,Cybersecurity researchers aren’t happy about the guardrails on Anthropic’s Fable,2026-06-11T08:01:25.128629
0,Why enterprise AI will be a major focus at VivaTech 2026,2026-06-11T08:01:25.128634
0,Datadog veterans launch AI coding startup Niteshift on a bet against Big AI lock-in,2026-06-11T08:01:25.128640
0,The three hard-tech moonshots fueling SpaceX’s unbelievable IPO,2026-06-11T08:01:25.128646
0,Pinterest bets on creators with Amazon Storefront integration,2026-06-11T08:01:25.128652
0,Warner Music acquires AI attribution startup Sureel AI,2026-06-11T08:01:25.128658
0,ServiceNow tells customers a bug left some of their data exposed to the internet,2026-06-11T08:01:25.128664
0,Jedify raises $24M to help companies arm AI agents with context on their business,2026-06-11T08:01:25.128670
